episode,mean_CR
0,0.7206000065803528
1,0.7352000027894974
2,0.7440999883413315
3,0.7293000000715256
4,0.7185000067949295
5,0.7364999943971634
6,0.7325000005960465
7,0.745399996638298
8,0.7435999953746796
9,0.7357999950647354
10,0.7671000075340271
11,0.7345999896526336
12,0.6966000193357468
13,0.7502999889850617
14,0.7403999954462052
15,0.7355999964475631
16,0.7299000006914139
17,0.7391999965906143
18,0.7208000069856644
19,0.6917999887466431
20,0.7323000013828278
21,0.7777000033855438
22,0.7320999997854233
23,0.7246000069379807
24,0.7230000072717666
25,0.7153000122308731
26,0.7334999996423721
27,0.7398999959230423
28,0.7597999840974807
29,0.7613999843597412
30,0.7311999988555908
31,0.7274000006914139
32,0.7202000069618225
33,0.7561999905109406
34,0.7844000047445298
35,0.7925999987125397
36,0.7562999910116196
37,0.7325
38,0.7545999908447265
39,0.7552999919652938
40,0.6603000050783158
41,0.668400000333786
42,0.650500009059906
43,0.650700010061264
44,0.6739999932050705
45,0.6616000038385391
46,0.6532000094652176
47,0.7018000102043152
48,0.6826999926567078
49,0.6935999882221222
50,0.6997000169754028
51,0.6818999910354614
52,0.6930999886989594
53,0.6933999872207641
54,0.6896999883651733
55,0.6952000188827515
56,0.6964000195264817
57,0.6893999874591827
58,0.6927999883890152
59,0.7295000022649765
60,0.738299994468689
61,0.7256000059843063
62,0.7057000184059143
63,0.7300000095367432
64,0.7533999902009964
65,0.7176000106334687
66,0.7513999903202057
67,0.7750000119209289
68,0.7638000166416168
69,0.7298000007867813
70,0.742799996137619
71,0.7454999893903732
72,0.7533999902009964
73,0.7325999999046325
74,0.7534999841451645
75,0.7535999840497971
76,0.7451999890804291
77,0.7509999912977219
78,0.7663000130653381
79,0.7450999963283539
80,0.752599989771843
81,0.7603999853134156
82,0.730100000500679
83,0.7475999903678894
84,0.7622999835014344
85,0.7551999908685684
86,0.7633999836444855
87,0.7530999916791916
88,0.7506999897956849
89,0.7417999941110611
90,0.7607999867200852
91,0.7435999953746796
92,0.7501999855041503
93,0.7462999886274337
94,0.7256999999284744
95,0.7327999931573868
96,0.7466999876499176
97,0.7552999836206437
98,0.7510999834537506
99,0.7272000056505203
