Episode,Top 1,Top 2,Top 3,Top 5,Top 10,Top k,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
66,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
67,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
68,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
69,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
70,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
71,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
72,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
73,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
74,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
75,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
76,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
77,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
78,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
79,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
80,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
81,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
82,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
83,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
84,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
85,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
86,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
87,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
88,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
89,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
90,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
91,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
92,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
93,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
94,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
95,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
96,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
97,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
98,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
99,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,40:60
