Episode,Top 1,Top 2,Top 3,Top 5,Top 10,Top k,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
72,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
73,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
74,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
75,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
76,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
77,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
78,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
79,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
80,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
81,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
82,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
83,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
84,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
85,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
86,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
87,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
88,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
89,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
90,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
91,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
92,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
93,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
94,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
95,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
96,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
97,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
98,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
99,0.0,0.0,1.0,1.0,1.0,1.0,200,5,100,default,map-elites,20:80
