episode,mean_CR
0,0.5118999823927879
1,0.5391999933123589
2,0.5742000076174736
3,0.5254000055789948
4,0.5499999883770943
5,0.5261000064015389
6,0.5866000014543533
7,0.5624999842047691
8,0.5264000058174133
9,0.5568999889492988
10,0.5139000123739242
11,0.49759998738765715
12,0.5370999950170517
13,0.5308000004291534
14,0.5383000001311302
15,0.52930000603199
16,0.5458999943733215
17,0.532199998497963
18,0.5307000002264977
19,0.5181000119447708
20,0.6147999906539917
21,0.6071999949216843
22,0.591800000667572
23,0.5744000148773193
24,0.584100006222725
25,0.5813000127673149
26,0.6205999898910523
27,0.615199983716011
28,0.6130999898910523
29,0.6361000102758407
30,0.6132999897003174
31,0.626899985074997
32,0.6002000015974045
33,0.610299996137619
34,0.6182999902963638
35,0.6044999957084656
36,0.6319000101089478
37,0.6640999913215637
38,0.6293000140786171
39,0.612799990773201
40,0.549399987757206
41,0.5350999957323075
42,0.49599998742341994
43,0.5024999877810479
44,0.5154000109434128
45,0.5289000010490418
46,0.5184000065922737
47,0.5071999824047089
48,0.5329000002145767
49,0.5454999947547913
50,0.509699981212616
51,0.5257000052928924
52,0.5203000062704086
53,0.5668999806046486
54,0.5395999932289124
55,0.518400005698204
56,0.5116999807953835
57,0.5242000058293342
58,0.5540999898314476
59,0.5329999947547912
60,0.6015999954938889
61,0.6159999886155129
62,0.5934000068902969
63,0.6182999902963638
64,0.6222999840974808
65,0.6283999824523926
66,0.6329000169038772
67,0.6294999837875366
68,0.6144999974966049
69,0.6216999930143357
70,0.616199991106987
71,0.6438000082969666
72,0.6194999885559082
73,0.6005000025033951
74,0.6071999979019165
75,0.6214000162482262
76,0.6130999898910523
77,0.6101999962329865
78,0.6282999843358994
79,0.6281999850273132
80,0.6186999908089638
81,0.6317999839782715
82,0.6111999896168708
83,0.6404000109434128
84,0.6485000050067902
85,0.6115999966859818
86,0.6581999987363816
87,0.6252999848127365
88,0.6165999901294709
89,0.6297999829053879
90,0.6171999901533127
91,0.6130999901890755
92,0.6094999912381173
93,0.6242999827861786
94,0.5858000078797341
95,0.6034999966621399
96,0.6000999969244003
97,0.588600007891655
98,0.5868000066280366
99,0.6030999991297722
