episode,mean_CR
0,0.6920000171661377
1,0.7088000106811524
2,0.69693334877491
3,0.7289333283901215
4,0.6966666841506958
5,0.6729333287477494
6,0.6581333363056183
7,0.6674666613340378
8,0.6944000089168548
9,0.655333343744278
10,0.6625333368778229
11,0.6733333218097687
12,0.6599999970197677
13,0.6639999973773957
14,0.6377333170175552
15,0.6490666782855987
16,0.6697333282232285
17,0.6445333451032639
18,0.6679999959468842
19,0.6722666639089584
20,0.7284000027179718
21,0.7298666715621949
22,0.7716000109910965
23,0.7656000155210495
24,0.7788000077009201
25,0.7570666563510895
26,0.7446666657924652
27,0.7535999876260757
28,0.7535999894142151
29,0.7513333213329315
30,0.7469333308935165
31,0.7461333292722702
32,0.7422666639089585
33,0.7273333352804184
34,0.7369333273172378
35,0.7710666757822037
36,0.7439999973773956
37,0.7666666829586029
38,0.7746666753292084
39,0.7752000081539154
40,0.6957333481311798
41,0.7132000011205674
42,0.6898666566610336
43,0.7280000030994416
44,0.7161333417892456
45,0.7168000012636184
46,0.7117333430051803
47,0.7104000091552735
48,0.6965333503484726
49,0.7006666761636734
50,0.6990666824579239
51,0.6936000156402587
52,0.7276000010967255
53,0.6993333518505096
54,0.7331999957561492
55,0.7001333504915237
56,0.6867999869585037
57,0.7058666753768921
58,0.700000017285347
59,0.7049333518743515
60,0.7257333260774612
61,0.6870666551589966
62,0.6861333227157593
63,0.6738666611909866
64,0.6707999962568283
65,0.6902666825056076
66,0.6855999886989593
67,0.6714666628837586
68,0.698266682624817
69,0.6485333460569381
70,0.6679999971389771
71,0.6877333498001099
72,0.6534666711091995
73,0.6366666501760483
74,0.6325333166122437
75,0.6490666693449021
76,0.6679999977350235
77,0.6641333305835724
78,0.7020000070333481
79,0.6402666801214218
80,0.6738666605949402
81,0.7062666767835617
82,0.6702666622400284
83,0.688800015449524
84,0.6458666789531707
85,0.6546666699647904
86,0.6331999850273132
87,0.669733327627182
88,0.6626666617393494
89,0.683999987244606
90,0.6682666707038879
91,0.7072000002861023
92,0.6819999879598617
93,0.7075999993085861
94,0.6474666804075241
95,0.625866659283638
96,0.6637333297729492
97,0.6713333308696747
98,0.6840000152587891
99,0.6714666622877121
