Episode,Top 1,Top 2,Top 3,Top 5,Top 10,Top k,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
0,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
1,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
2,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
3,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
4,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
5,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
6,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
7,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
8,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
9,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
10,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
11,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
12,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
13,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
14,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
15,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
16,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
17,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
18,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
19,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
20,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
21,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
22,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
23,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
24,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
25,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
26,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
27,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
28,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
29,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
30,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
31,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
32,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
33,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
34,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
35,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
36,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
37,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
38,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
39,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
40,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
41,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
42,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
43,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
44,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
45,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
46,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
47,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
48,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
49,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
50,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
51,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
52,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
53,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
54,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
55,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
56,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
57,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
58,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
59,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
60,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
61,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
62,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
63,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
64,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
65,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
66,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
67,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
68,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
69,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
70,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
71,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
72,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
73,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
74,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
75,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
76,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
77,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
78,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
79,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
80,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
81,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
82,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
83,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
84,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
85,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
86,0.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
87,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
88,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
89,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
90,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
91,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
92,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
93,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
94,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
95,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
96,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
97,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
98,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
99,1.0,1.0,1.0,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,30:70
