episode,mean_CR
0,0.6714000004529953
1,0.6843333274126053
2,0.6608000069856643
3,0.6708000010251999
4,0.6609333395957947
5,0.667133339047432
6,0.6677333325147629
7,0.6873999905586242
8,0.685533327460289
9,0.6656000041961669
10,0.674200001358986
11,0.6772666645050048
12,0.6784666615724564
13,0.6780666619539261
14,0.6931999903917313
15,0.6743333339691162
16,0.6721333330869674
17,0.6802666640281677
18,0.6789999979734421
19,0.6944666528701782
20,0.6175333219766617
21,0.6095999932289123
22,0.5940666735172272
23,0.6148666608333587
24,0.6029333329200744
25,0.6132666599750519
26,0.571333320736885
27,0.5807333147525787
28,0.5834000134468078
29,0.585866681933403
30,0.624799981713295
31,0.6094666624069214
32,0.6292666494846344
33,0.6351333165168762
34,0.6452666789293289
35,0.6476000100374222
36,0.6327999883890152
37,0.6286666542291641
38,0.5986000055074692
39,0.6243999922275543
40,0.6673999989032745
41,0.6620666682720184
42,0.6531333440542221
43,0.6540666770935059
44,0.6620666694641113
45,0.6534000080823898
46,0.6523333430290222
47,0.6307999861240386
48,0.6380666500329971
49,0.6450000149011612
50,0.6498000121116638
51,0.6431333154439927
52,0.6546000081300736
53,0.6572666746377945
54,0.6756666618585586
55,0.6639333373308182
56,0.6410666483640671
57,0.6492666786909104
58,0.647666682600975
59,0.6649999994039536
60,0.6135333263874054
61,0.6255999916791916
62,0.6232666563987732
63,0.6358666503429413
64,0.6358666485548019
65,0.6376000142097473
66,0.638800014257431
67,0.6169999927282334
68,0.6206666576862335
69,0.635400015115738
70,0.6292666518688201
71,0.6203333228826523
72,0.6280666530132294
73,0.6195999944210052
74,0.6391999834775924
75,0.6369333171844482
76,0.6285333216190339
77,0.6381999868154525
78,0.623533329963684
79,0.6524000090360641
80,0.6311333215236664
81,0.6308666533231735
82,0.6161333328485489
83,0.613399994969368
84,0.6230666565895081
85,0.6076666641235352
86,0.6188666605949402
87,0.6123333305120469
88,0.6137333315610886
89,0.6197999936342239
90,0.630999988913536
91,0.6369999831914902
92,0.61739999294281
93,0.6401333463191986
94,0.6263999885320664
95,0.6198666524887085
96,0.631133315563202
97,0.6269333195686341
98,0.6201333272457122
99,0.608800003528595
