episode,mean_CR
0,0.658199999332428
1,0.6459000146389008
2,0.6584000033140183
3,0.6359999859333039
4,0.6277999848127365
5,0.6313999843597412
6,0.6547000032663345
7,0.6371999841928482
8,0.670599997639656
9,0.6700999975204468
10,0.6652999973297119
11,0.6751999944448471
12,0.6640000027418137
13,0.6741999924182892
14,0.654000009894371
15,0.672899996638298
16,0.6545000100135803
17,0.6533000099658967
18,0.6353999871015549
19,0.6499000114202499
20,0.6546000105142593
21,0.6642000061273575
22,0.6655000007152557
23,0.6689999973773957
24,0.6613000053167343
25,0.6592000061273575
26,0.6740999948978424
27,0.6647999984025955
28,0.6813999873399734
29,0.6799999916553497
30,0.6993000119924545
31,0.6718000018596649
32,0.6544000041484833
33,0.6456000155210495
34,0.6682999986410141
35,0.6861999875307083
36,0.682199986577034
37,0.6573000085353852
38,0.6892999869585037
39,0.684099993109703
40,0.614499996304512
41,0.605300001502037
42,0.5905000084638595
43,0.6137999951839447
44,0.6333000147342682
45,0.6071999955177307
46,0.6369000083208084
47,0.6359000152349472
48,0.6097999948263169
49,0.6041999965906143
50,0.6221999907493592
51,0.6590000033378601
52,0.6340999859571457
53,0.6386000162363052
54,0.6455000108480453
55,0.6347000169754028
56,0.6464000099897385
57,0.6321999847888946
58,0.6433000159263611
59,0.6668999934196472
60,0.6547000098228455
61,0.6437000107765197
62,0.6422000163793564
63,0.7123999953269958
64,0.679899988770485
65,0.6675999993085862
66,0.6603999984264374
67,0.6559000021219253
68,0.6545000046491622
69,0.6543000102043152
70,0.6654999995231629
71,0.6636000007390976
72,0.6749999910593033
73,0.6503000128269195
74,0.6565000021457672
75,0.660600004196167
76,0.6569000041484833
77,0.6521000045537949
78,0.6414000141620636
79,0.6486000108718872
80,0.6882999879121781
81,0.6685000050067902
82,0.6733999979496003
83,0.7016000187397003
84,0.6804999935626984
85,0.716000000834465
86,0.69559998691082
87,0.7106000059843063
88,0.6763999927043914
89,0.6679999971389771
90,0.670499992966652
91,0.6885999888181686
92,0.7187000072002411
93,0.6878999865055084
94,0.6716999995708466
95,0.6925000172853469
96,0.678999992609024
97,0.6723999983072281
98,0.6543000090122223
99,0.6548000049591064
