episode,mean_CR
0,0.6147999948263169
1,0.6444000166654587
2,0.6470000165700912
3,0.6338999861478806
4,0.6151999968290329
5,0.6250999909639359
6,0.6521000051498413
7,0.6254999917745591
8,0.6342999851703643
9,0.6424000161886215
10,0.6068000024557114
11,0.6519000089168548
12,0.6389000153541565
13,0.6453000152111054
14,0.6444000154733658
15,0.6799999928474426
16,0.6655000042915344
17,0.6740999972820282
18,0.6509000104665756
19,0.6586000037193298
20,0.645600009560585
21,0.6370000165700912
22,0.6305999857187271
23,0.6291999870538711
24,0.6219999897480011
25,0.6268999844789505
26,0.6322999870777131
27,0.6524000036716461
28,0.6500000119209289
29,0.6573000055551529
30,0.6729999923706055
31,0.6466000157594681
32,0.6373000168800353
33,0.6258999913930893
34,0.6413000160455704
35,0.6661000043153763
36,0.6784999942779542
37,0.6802999931573868
38,0.7130000066757202
39,0.6841999953985214
40,0.5670999801158905
41,0.4945999875664711
42,0.47620000451803207
43,0.5944000014662743
44,0.6005000013113022
45,0.49329999268054964
46,0.57440001308918
47,0.5849000155925751
48,0.6051999950408935
49,0.5821000146865845
50,0.5645999884605408
51,0.6157999950647354
52,0.6169999897480011
53,0.6163999944925308
54,0.6305999863147735
55,0.6400000160932541
56,0.6478000086545944
57,0.6321999847888946
58,0.6395000159740448
59,0.6390000146627426
60,0.6405000162124633
61,0.6223999840021134
62,0.6393000167608262
63,0.6522000098228454
64,0.6225999891757965
65,0.6379000163078308
66,0.6229999929666519
67,0.6223999899625778
68,0.6107999950647354
69,0.6164999836683274
70,0.6128999906778335
71,0.6024000042676926
72,0.6299999833106995
73,0.6325999879837036
74,0.6506000101566315
75,0.6343999844789505
76,0.6312999844551086
77,0.6223999840021134
78,0.5654999884963036
79,0.6184999895095825
80,0.6820999932289123
81,0.6741999989748001
82,0.6773999989032745
83,0.6941999870538712
84,0.6814999920129776
85,0.6714999979734421
86,0.6935999900102615
87,0.6638000047206879
88,0.6723999989032745
89,0.6621000045537948
90,0.6504000097513198
91,0.6670999979972839
92,0.6651000040769577
93,0.6568000096082688
94,0.6889000165462494
95,0.6717999994754791
96,0.6523000103235245
97,0.6623000061511993
98,0.635900017619133
99,0.6040000021457672
