Episode,Top 1,Top 2,Top 3,Top 5,Top 10,Top k,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
0,0.05,0.1,0.25,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
1,0.05,0.1,0.15,0.55,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
2,0.05,0.1,0.15,0.5,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
3,0.1,0.2,0.25,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
4,0.0,0.1,0.2,0.35,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
5,0.0,0.0,0.0,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
6,0.05,0.05,0.15,0.3,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
7,0.1,0.2,0.55,0.95,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
8,0.05,0.1,0.2,0.55,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
9,0.05,0.15,0.2,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
10,0.05,0.05,0.55,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
11,0.1,0.25,0.5,0.9,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
12,0.05,0.15,0.3,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
13,0.05,0.2,0.35,0.6,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
14,0.25,0.4,0.7,0.95,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
15,0.05,0.2,0.35,0.85,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
16,0.0,0.1,0.3,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
17,0.0,0.05,0.2,0.55,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
18,0.0,0.05,0.1,0.25,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
19,0.05,0.1,0.1,0.45,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
20,0.2,0.25,0.5,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
21,0.05,0.1,0.3,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
22,0.05,0.15,0.2,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
23,0.05,0.05,0.15,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
24,0.1,0.2,0.65,0.85,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
25,0.05,0.1,0.35,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
26,0.05,0.15,0.25,0.75,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
27,0.1,0.1,0.1,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
28,0.1,0.1,0.25,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
29,0.05,0.2,0.35,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
30,0.05,0.25,0.3,0.6,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
31,0.05,0.15,0.45,0.65,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
32,0.05,0.1,0.1,0.6,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
33,0.05,0.1,0.3,0.7,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
34,0.05,0.1,0.2,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
35,0.2,0.2,0.25,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
36,0.0,0.2,0.3,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
37,0.05,0.1,0.25,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
38,0.05,0.15,0.2,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
39,0.05,0.25,0.4,0.75,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
40,0.05,0.1,0.15,0.25,0.85,1.0,200,5,100,default,mutation-kmeans,20:80
41,0.1,0.2,0.4,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
42,0.05,0.25,0.3,0.6,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
43,0.05,0.1,0.15,0.45,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
44,0.1,0.2,0.5,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
45,0.05,0.15,0.35,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
46,0.05,0.1,0.2,0.45,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
47,0.05,0.1,0.2,0.55,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
48,0.1,0.25,0.45,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
49,0.05,0.1,0.2,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
50,0.05,0.05,0.15,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
51,0.05,0.2,0.25,0.55,0.9,1.0,200,5,100,default,mutation-kmeans,20:80
52,0.05,0.15,0.25,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
53,0.15,0.25,0.45,0.85,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
54,0.1,0.3,0.5,0.75,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
55,0.05,0.1,0.2,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
56,0.05,0.2,0.55,0.75,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
57,0.1,0.2,0.4,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
58,0.1,0.2,0.3,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
59,0.05,0.2,0.45,0.9,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
60,0.05,0.15,0.35,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
61,0.1,0.25,0.25,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
62,0.0,0.1,0.3,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
63,0.05,0.1,0.25,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
64,0.1,0.15,0.2,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
65,0.0,0.1,0.15,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
66,0.1,0.2,0.45,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
67,0.1,0.2,0.4,0.65,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
68,0.05,0.1,0.25,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
69,0.05,0.1,0.2,0.55,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
70,0.1,0.15,0.25,0.45,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
71,0.05,0.05,0.15,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
72,0.05,0.1,0.45,0.55,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
73,0.1,0.15,0.3,0.45,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
74,0.05,0.15,0.25,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
75,0.05,0.1,0.35,0.75,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
76,0.1,0.15,0.2,0.4,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
77,0.0,0.05,0.15,0.65,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
78,0.05,0.15,0.15,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
79,0.1,0.1,0.2,0.55,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
80,0.1,0.3,0.4,0.9,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
81,0.05,0.05,0.15,0.45,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
82,0.05,0.05,0.15,0.35,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
83,0.15,0.25,0.35,0.65,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
84,0.05,0.15,0.3,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
85,0.0,0.2,0.2,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
86,0.0,0.1,0.2,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
87,0.1,0.1,0.15,0.35,0.95,1.0,200,5,100,default,mutation-kmeans,20:80
88,0.05,0.15,0.25,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
89,0.05,0.1,0.15,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
90,0.05,0.1,0.15,0.55,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
91,0.15,0.15,0.4,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
92,0.1,0.15,0.25,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
93,0.05,0.1,0.3,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
94,0.05,0.15,0.2,0.65,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
95,0.05,0.05,0.1,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
96,0.05,0.1,0.25,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
97,0.1,0.3,0.5,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
98,0.1,0.25,0.3,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
99,0.1,0.15,0.2,0.3,1.0,1.0,200,5,100,default,mutation-kmeans,20:80
