n_GU,Absolute Elem-wise Error,Absolute CR Error
75,3.742,0.02289999991575041
100,4.98475,0.022207499254499528
125,6.29825,0.020254000808999955
150,7.34025,0.020101666322124918
175,8.825,0.0192828569394503
200,9.789,0.018335000042749853
