n_ABS,Absolute Elem-wise Error,Absolute CR Error
5,6.60275,0.03976249892649953
6,5.62375,0.027037500623499064
7,5.4125,0.021994999648749347
8,5.03325,0.020717499682249427
9,5.04875,0.021502498031999374
10,5.011,0.02598499889824909
