n_BM,Absolute Elem-wise Error,Absolute CR Error
0,0.4579166666666667,0.010208333992708289
100,1.5922916666666667,0.02613020770479153
200,1.3472916666666668,0.023265624870833293
300,1.2958333333333334,0.022083332980833432
400,0.9322916666666666,0.017130208356875083
