Collect Strategy,Method,CR
default,map-elites,0.657727002042532
default,mutation-kmeans,0.6351180001556873
default,naive-kmeans,0.5626239969581366
half,map-elites,0.659413000792265
half,mutation-kmeans,0.6314900001049042
half,naive-kmeans,0.5626239969581366
third,map-elites,0.6518870009720326
third,mutation-kmeans,0.6276849997609854
third,naive-kmeans,0.5626239969581366
