n_BM,Absolute Elem-wise Error,Absolute CR Error
100,4.794791666666667,0.02212291616104074
200,5.3585416666666665,0.0239354161795827
300,5.063541666666667,0.021318748667916415
400,3.884375,0.017681249728124755
