Episode,Top 1,Top 2,Top 3,Top 5,Top 10,Top k,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
66,0.2,0.4,0.6,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
67,0.2,0.3,0.6,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
68,0.1,0.2,0.4,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
69,0.0,0.1,0.3,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
70,0.2,0.2,0.4,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
71,0.0,0.0,0.1,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
72,0.1,0.2,0.5,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
73,0.2,0.3,0.5,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
74,0.1,0.2,0.4,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
75,0.1,0.2,0.5,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
76,0.2,0.3,0.4,0.7,0.9,0.9,200,5,100,default,mutation-kmeans,10:90
77,0.0,0.1,0.2,0.8,0.9,0.9,200,5,100,default,mutation-kmeans,10:90
78,0.1,0.1,0.1,0.3,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
79,0.2,0.2,0.4,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
80,0.1,0.4,0.6,0.9,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
81,0.1,0.1,0.2,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
82,0.1,0.1,0.2,0.4,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
83,0.2,0.3,0.5,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
84,0.1,0.3,0.4,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
85,0.0,0.0,0.0,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
86,0.0,0.2,0.3,0.7,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
87,0.2,0.2,0.3,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
88,0.1,0.3,0.4,0.8,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
89,0.1,0.2,0.3,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
90,0.1,0.2,0.2,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
91,0.1,0.1,0.3,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
92,0.1,0.2,0.3,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
93,0.0,0.1,0.3,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
94,0.0,0.1,0.2,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
95,0.1,0.1,0.2,0.6,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
96,0.1,0.2,0.4,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
97,0.2,0.6,0.8,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
98,0.2,0.4,0.5,1.0,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
99,0.2,0.3,0.3,0.5,1.0,1.0,200,5,100,default,mutation-kmeans,10:90
