n_ABS,Absolute Elem-wise Error,Absolute CR Error
3,11.8085,0.09936999707449912
4,8.00075,0.05855249781775076
5,6.60275,0.03976249892649953
6,5.62375,0.027037500623499064
7,5.4125,0.021994999648749347
8,5.03325,0.020717499682249427
9,5.04875,0.021502498031999374
10,5.011,0.02598499889824909
11,5.24275,0.030347500175998854
12,5.29375,0.03501750086949905
