episode,mean_CR
0,0.6387000161409379
1,0.6407000172138214
2,0.6523000079393387
3,0.6429000037908554
4,0.6204999893903732
5,0.6261999833583832
6,0.6600999993085861
7,0.6466000068187714
8,0.6447000157833099
9,0.666599999666214
10,0.645500009059906
11,0.6780999904870987
12,0.6768999874591828
13,0.6611000031232834
14,0.6388000160455704
15,0.6626000028848648
16,0.6612999975681305
17,0.6492000085115432
18,0.6203999918699264
19,0.6413000136613846
20,0.6624000042676925
21,0.6601000040769577
22,0.6700999987125397
23,0.6773999935388565
24,0.6716999936103821
25,0.6481000101566314
26,0.65730000436306
27,0.668199998140335
28,0.6950000166893006
29,0.6701999986171723
30,0.6760999989509583
31,0.7072000068426132
32,0.6584000033140183
33,0.6713999968767166
34,0.6610000061988831
35,0.6814999866485596
36,0.675799994468689
37,0.6800999933481217
38,0.6718999981880188
39,0.6808999866247177
40,0.6082999959588051
41,0.6026000028848648
42,0.5852000135183334
43,0.6075999963283539
44,0.619399990439415
45,0.610299996137619
46,0.6111999893188477
47,0.6145999974012375
48,0.6036999958753586
49,0.6264999854564667
50,0.6494000041484833
51,0.6525999993085861
52,0.6145999956130982
53,0.6399000096321106
54,0.6242999857664109
55,0.6116999953985214
56,0.6241999843716621
57,0.6526999980211258
58,0.6122999966144562
59,0.672299987077713
60,0.6597000068426132
61,0.606799995303154
62,0.6378000152111053
63,0.6957000136375427
64,0.6730999928712845
65,0.6563000047206878
66,0.6546000051498413
67,0.6544000029563903
68,0.6344999849796296
69,0.6642999994754791
70,0.6676999974250794
71,0.6616999983787537
72,0.6625999975204467
73,0.6363000148534774
74,0.6610999989509583
75,0.6517000097036362
76,0.6555000054836273
77,0.6497000044584275
78,0.6480000030994415
79,0.6485000103712082
80,0.6988000184297561
81,0.6921000212430954
82,0.6963000100851059
83,0.685799993276596
84,0.6780999940633774
85,0.6751999992132187
86,0.6958000177145004
87,0.6806999921798706
88,0.6719999986886979
89,0.6635000038146973
90,0.6660999989509583
91,0.6907000184059143
92,0.7047000116109848
93,0.6829999852180481
94,0.650500009059906
95,0.6603000062704086
96,0.6776999920606613
97,0.7091000056266785
98,0.6549000096321106
99,0.6630999982357025
