episode,mean_CR
0,0.36759999319911
1,0.3641999915242195
2,0.3836999973654747
3,0.38549999952316283
4,0.3574999988079071
5,0.35679999843239785
6,0.36759999811649324
7,0.3914999979734421
8,0.3779000046849251
9,0.3759000048041344
10,0.343400010317564
11,0.33760000973939897
12,0.34990000367164614
13,0.39509999215602876
14,0.3955999919772148
15,0.3644999933242798
16,0.35399999767541884
17,0.36900000393390653
18,0.3505000030994415
19,0.3812999987602234
20,0.46970000565052034
21,0.4730999991297722
22,0.4717000049352646
23,0.47529999911785126
24,0.4698000055551529
25,0.48719999253749846
26,0.48369999319314955
27,0.4514999923110008
28,0.45199999868869783
29,0.46259999185800554
30,0.5074999821186066
31,0.4900999927520752
32,0.5083999821543693
33,0.5081999811530113
34,0.48319999903440475
35,0.5210000064969063
36,0.4796999937295914
37,0.46980000436306
38,0.4805999997258186
39,0.4437000039219856
40,0.37920000463724135
41,0.4055999997258186
42,0.37719999849796293
43,0.3581999984383583
44,0.33800000950694087
45,0.3251000021398067
46,0.3139000083506107
47,0.3735000041127205
48,0.33520000889897344
49,0.3592999988794327
50,0.3468000036478043
51,0.3550999917089939
52,0.3045999963581562
53,0.3577999982237816
54,0.3578999920189381
55,0.40780000388622284
56,0.4053000047802925
57,0.3941999930143356
58,0.41559999823570254
59,0.42959999173879626
60,0.4968999871611595
61,0.4623000040650368
62,0.44919999212026596
63,0.43239999234676363
64,0.4297999906539917
65,0.5244000110030175
66,0.5214000117778778
67,0.4771000054478645
68,0.49389999359846115
69,0.5013999882340431
70,0.5028999873995781
71,0.49969998687505723
72,0.4803000068664551
73,0.5015999880433083
74,0.49449998766183856
75,0.4622999933362007
76,0.4823999997973442
77,0.45859999299049375
78,0.4532999983429909
79,0.4589999920129776
80,0.4502999919652939
81,0.4299999925494194
82,0.44979999870061876
83,0.4501999980211258
84,0.4376000043749809
85,0.44669999927282333
86,0.4485999983549118
87,0.41080000311136244
88,0.4534999915957451
89,0.4565999919176102
90,0.5005000123381614
91,0.4484999984502792
92,0.4704000037908554
93,0.44899999916553496
94,0.451799992620945
95,0.434100005030632
96,0.4530999925732613
97,0.42519999206066134
98,0.4404999989271164
99,0.42039999783039095
