episode,mean_CR
0,0.6686285817623139
1,0.6696000105142593
2,0.667200003862381
3,0.6700000047683716
4,0.6617142814397812
5,0.6814856958389283
6,0.6693142873048782
7,0.6713714289665222
8,0.6767999875545502
9,0.6509142673015594
10,0.6306285691261292
11,0.6597714239358902
12,0.6522856974601745
13,0.6613142812252044
14,0.6589142727851868
15,0.6472571551799774
16,0.6174857264757156
17,0.648742840886116
18,0.6643999832868576
19,0.6418857264518738
20,0.5649142795801163
21,0.564171415567398
22,0.5990285724401474
23,0.5792000079154969
24,0.5578857332468032
25,0.5876571267843247
26,0.5828571587800979
27,0.5847428715229035
28,0.5734857165813446
29,0.5747428736090661
30,0.5742857140302658
31,0.5882857024669648
32,0.5670857018232346
33,0.5792000091075897
34,0.5951999944448471
35,0.6046857208013534
36,0.5809714370965957
37,0.6070285785198212
38,0.5805714374780655
39,0.5797714370489121
40,0.6149142980575562
41,0.6412571537494659
42,0.6412000125646591
43,0.6435999834537506
44,0.6370857113599777
45,0.6445714396238327
46,0.6579428541660309
47,0.6794285595417022
48,0.6462857258319855
49,0.6758285522460937
50,0.6667428612709045
51,0.6688571453094483
52,0.6789714157581329
53,0.645542841553688
54,0.6101142925024032
55,0.6581142753362655
56,0.6101714360713959
57,0.6612571513652802
58,0.6507999897003174
59,0.6566857105493545
60,0.6066285711526871
61,0.590228556394577
62,0.6164571565389633
63,0.6523999977111816
64,0.6305142760276794
65,0.6224571335315704
66,0.5949142718315125
67,0.6132571566104889
68,0.6254857069253922
69,0.6305142825841904
70,0.5929714149236679
71,0.6096000075340271
72,0.620285713672638
73,0.5866285890340805
74,0.5863428729772567
75,0.5765714377164841
76,0.5895428442955017
77,0.5943999910354614
78,0.5623999881744385
79,0.5766857230663299
80,0.602342848777771
81,0.5844571495056152
82,0.5929142731428146
83,0.6248571360111237
84,0.6175428414344788
85,0.6028000003099442
86,0.6037714290618896
87,0.6109142917394638
88,0.6217142707109451
89,0.6140000158548355
90,0.6191999834775924
91,0.622799989581108
92,0.63091428399086
93,0.621085706949234
94,0.6051428556442261
95,0.61394287109375
96,0.5973714208602905
97,0.6153142982721329
98,0.6283428633213043
99,0.6388571554422379
